constituency_no,constituency,constituency_type,name,party,alliance,gender,age,position,vote_share_percentage,margin_percentage,margin,valid_votes,votes,evm_votes,postal_votes,district_name,sub_region,enop,previous_winner,previous_winner_alliance
50,PATTAMBI,GEN,MUHAMMED MUHSIN. M. K MANJERIKUNNATH,Independent,Others,male,32,6,0.089709389,0.028329281,48,169436,152,152,0,PALAKKAD,MALABAR (NORTH KERALA),2.466867711,CPI,LDF
50,PATTAMBI,GEN,HARIS BABU PAILIPPURAM,Independent,Others,male,43,7,0.061380108,0.01062348,18,169436,104,102,2,PALAKKAD,MALABAR (NORTH KERALA),2.466867711,CPI,LDF
50,PATTAMBI,GEN,SHAJIMON,Independent,Others,male,48,8,0.050756628,0,0,169436,86,79,7,PALAKKAD,MALABAR (NORTH KERALA),2.466867711,CPI,LDF
51,SHORNUR,GEN,P.MAMMIKUTTY,Communist Party of India (Marxist),LDF,male,73,1,44.08048812,10.31519519,16517,160123,70583,69446,1137,PALAKKAD,MALABAR (NORTH KERALA),2.844370257,CPM,LDF
51,SHORNUR,GEN,P.HARIGOVINDAN,Indian National Congress,UDF,male,63,2,33.76529293,12.99126297,20802,160123,54066,53277,789,PALAKKAD,MALABAR (NORTH KERALA),2.844370257,CPM,LDF
51,SHORNUR,GEN,ADV. SANKU.T.DAS,Bharatiya Janata Party,NDA,male,36,3,20.77402996,19.98526133,32001,160123,33264,32822,442,PALAKKAD,MALABAR (NORTH KERALA),2.844370257,CPM,LDF
51,SHORNUR,GEN,ABOOBACKER,Social Democratic Party Of India,Others,male,50,4,0.788768634,0.197348289,316,160123,1263,1258,5,PALAKKAD,MALABAR (NORTH KERALA),2.844370257,CPM,LDF
51,SHORNUR,GEN,NOTA,None of the Above,Others,,,5,0.591420346,0,0,160123,947,937,10,PALAKKAD,MALABAR (NORTH KERALA),2.844370257,CPM,LDF
52,OTTAPALAM,GEN,ADV. K. PREMKUMAR,Communist Party of India (Marxist),LDF,male,46,1,44.30348493,15.74154635,26777,170104,75362,74249,1113,PALAKKAD,MALABAR (NORTH KERALA),2.938251027,CPM,LDF
52,OTTAPALAM,GEN,P.K SASI P.K.S S/O PADMINI AMMA,Independent,UDF,male,69,2,28.56193858,3.591332361,6109,170104,48585,47979,606,PALAKKAD,MALABAR (NORTH KERALA),2.938251027,CPM,LDF
52,OTTAPALAM,GEN,MAJOR RAVI,Bharatiya Janata Party,NDA,male,68,3,24.97060622,24.30336735,41341,170104,42476,41757,719,PALAKKAD,MALABAR (NORTH KERALA),2.938251027,CPM,LDF
52,OTTAPALAM,GEN,NOTA,None of the Above,Others,,,4,0.667238866,0.042914923,73,170104,1135,1106,29,PALAKKAD,MALABAR (NORTH KERALA),2.938251027,CPM,LDF
52,OTTAPALAM,GEN,SASI P.K S/O KRISHNANKUTTY,Independent,Others,male,49,5,0.624323943,0.021751399,37,170104,1062,1049,13,PALAKKAD,MALABAR (NORTH KERALA),2.938251027,CPM,LDF
52,OTTAPALAM,GEN,K.P RAJEESH,Bahujan Samaj Party,Others,male,42,6,0.602572544,0.332737619,566,170104,1025,993,32,PALAKKAD,MALABAR (NORTH KERALA),2.938251027,CPM,LDF
52,OTTAPALAM,GEN,MUHAMMED ASHARAF V.H,Independent,Others,male,54,7,0.269834925,0,0,170104,459,441,18,PALAKKAD,MALABAR (NORTH KERALA),2.938251027,CPM,LDF
53,KONGAD,SC,THULASI TEACHER,Indian National Congress,UDF,female,52,1,42.20106959,2.493020753,3706,148655,62734,61929,805,PALAKKAD,MALABAR (NORTH KERALA),2.747492376,CPM,LDF
53,KONGAD,SC,ADV. K.SANTHAKUMARI,Communist Party of India (Marxist),LDF,female,55,2,39.70804884,22.94103797,34103,148655,59028,58215,813,PALAKKAD,MALABAR (NORTH KERALA),2.747492376,CPM,LDF
53,KONGAD,SC,DR. RENU SURESH,Bharatiya Janata Party,NDA,female,49,3,16.76701086,16.02098819,23816,148655,24925,24557,368,PALAKKAD,MALABAR (NORTH KERALA),2.747492376,CPM,LDF
53,KONGAD,SC,NOTA,None of the Above,Others,,,4,0.74602267,0.168174633,250,148655,1109,1090,19,PALAKKAD,MALABAR (NORTH KERALA),2.747492376,CPM,LDF
53,KONGAD,SC,GURUVAYOORAPPAN P E,Bahujan Samaj Party,Others,male,65,5,0.577848037,0,0,148655,859,845,14,PALAKKAD,MALABAR (NORTH KERALA),2.747492376,CPM,LDF
54,MANNARKAD,GEN,ADV. N. SAMSUDHEEN,Indian Union Muslim League,UDF,male,56,1,53.68258276,15.34710661,25903,168781,90606,89522,1084,PALAKKAD,MALABAR (NORTH KERALA),2.276799499,IUML,UDF
54,MANNARKAD,GEN,MANZIL ABOOBACKER,Communist Party of India,LDF,male,64,2,38.33547615,32.01308204,54032,168781,64703,64006,697,PALAKKAD,MALABAR (NORTH KERALA),2.276799499,IUML,UDF
54,MANNARKAD,GEN,ISSAC VARGHESE,Bharath Dharma Jana Sena,NDA,male,55,3,6.322394108,5.754794675,9713,168781,10671,10555,116,PALAKKAD,MALABAR (NORTH KERALA),2.276799499,IUML,UDF
54,MANNARKAD,GEN,NOTA,None of the Above,Others,,,4,0.567599434,0.011257191,19,168781,958,942,16,PALAKKAD,MALABAR (NORTH KERALA),2.276799499,IUML,UDF
54,MANNARKAD,GEN,ASHITHA NAJEEB,Social Democratic Party Of India,Others,female,39,5,0.556342242,0.344233059,581,168781,939,923,16,PALAKKAD,MALABAR (NORTH KERALA),2.276799499,IUML,UDF
54,MANNARKAD,GEN,SHAMSUDHEEN S/O MUHAMMED,Independent,Others,male,47,6,0.212109183,0.040881379,69,168781,358,355,3,PALAKKAD,MALABAR (NORTH KERALA),2.276799499,IUML,UDF
54,MANNARKAD,GEN,ABOOBACKER S/O AYISHA,Independent,Others,male,55,7,0.171227804,0.01895948,32,168781,289,284,5,PALAKKAD,MALABAR (NORTH KERALA),2.276799499,IUML,UDF
54,MANNARKAD,GEN,SHAMSUDHEEN S/O UMMER,Independent,Others,male,43,8,0.152268324,0,0,168781,257,254,3,PALAKKAD,MALABAR (NORTH KERALA),2.276799499,IUML,UDF
55,MALAMPUZHA,GEN,A PRABHAKARAN,Communist Party of India (Marxist),LDF,male,74,1,42.28397154,12.1505807,19721,162305,68629,67681,948,PALAKKAD,MALABAR (NORTH KERALA),2.962993231,CPM,LDF
55,MALAMPUZHA,GEN,C KRISHNAKUMAR,Bharatiya Janata Party,NDA,male,52,2,30.13339084,4.094759866,6646,162305,48908,48255,653,PALAKKAD,MALABAR (NORTH KERALA),2.962993231,CPM,LDF
55,MALAMPUZHA,GEN,A SURESH,Indian National Congress,UDF,male,52,3,26.03863097,25.11074828,40756,162305,42262,41630,632,PALAKKAD,MALABAR (NORTH KERALA),2.962993231,CPM,LDF
55,MALAMPUZHA,GEN,NOTA,None of the Above,Others,,,4,0.92788269,0.651859154,1058,162305,1506,1491,15,PALAKKAD,MALABAR (NORTH KERALA),2.962993231,CPM,LDF
55,MALAMPUZHA,GEN,RAMNATH C,Bahujan Samaj Party,Others,male,40,5,0.276023536,0.057299529,93,162305,448,434,14,PALAKKAD,MALABAR (NORTH KERALA),2.962993231,CPM,LDF
55,MALAMPUZHA,GEN,K PRASAD,Socialist Unity Centre Of India (COMMUNIST),Others,male,43,6,0.218724007,0.097347586,158,162305,355,350,5,PALAKKAD,MALABAR (NORTH KERALA),2.962993231,CPM,LDF
55,MALAMPUZHA,GEN,SAJI PJ,Aam Aadmi Party,Others,male,40,7,0.121376421,0,0,162305,197,189,8,PALAKKAD,MALABAR (NORTH KERALA),2.962993231,CPM,LDF
56,PALAKKAD,GEN,RAMESH PISHARODY,Indian National Congress,UDF,male,45,1,42.25705201,8.931871297,13147,147192,62199,61379,820,PALAKKAD,MALABAR (NORTH KERALA),2.917038196,INC,UDF
56,PALAKKAD,GEN,SOBHA SURENDRAN,Bharatiya Janata Party,NDA,female,52,2,33.32518072,10.27297679,15121,147192,49052,48192,860,PALAKKAD,MALABAR (NORTH KERALA),2.917038196,INC,UDF
56,PALAKKAD,GEN,N.M.R. RAZACK,Independent,LDF,male,51,3,23.05220392,22.48084135,33090,147192,33931,33532,399,PALAKKAD,MALABAR (NORTH KERALA),2.917038196,INC,UDF
56,PALAKKAD,GEN,NOTA,None of the Above,Others,,,4,0.571362574,0.274471439,404,147192,841,825,16,PALAKKAD,MALABAR (NORTH KERALA),2.917038196,INC,UDF
56,PALAKKAD,GEN,UDAYAN SUKUMARAN,Aam Aadmi Party,Others,male,38,5,0.296891135,0.060465243,89,147192,437,432,5,PALAKKAD,MALABAR (NORTH KERALA),2.917038196,INC,UDF
56,PALAKKAD,GEN,KRISHNANKUTTY K,Bahujan Samaj Party,Others,male,51,6,0.236425893,0.105304636,155,147192,348,343,5,PALAKKAD,MALABAR (NORTH KERALA),2.917038196,INC,UDF
56,PALAKKAD,GEN,SHAMSUDHEEN B.,Independent,Others,male,41,7,0.131121257,0.001358769,2,147192,193,191,2,PALAKKAD,MALABAR (NORTH KERALA),2.917038196,INC,UDF
56,PALAKKAD,GEN,REGHU M,Independent,Others,male,59,8,0.129762487,0,0,147192,191,189,2,PALAKKAD,MALABAR (NORTH KERALA),2.917038196,INC,UDF
57,TARUR,SC,SUMOD,Communist Party of India (Marxist),LDF,male,43,1,45.79117705,9.005943469,11910,132246,60557,59778,779,PALAKKAD,MALABAR (NORTH KERALA),2.697551171,CPM,LDF
57,TARUR,SC,SUBRAMANIAN K C,Indian National Congress,UDF,male,56,2,36.78523358,20.7832373,27485,132246,48647,47915,732,PALAKKAD,MALABAR (NORTH KERALA),2.697551171,CPM,LDF
57,TARUR,SC,SURESHBABU M,Bharatiya Janata Party,NDA,male,41,3,16.00199628,15.23524341,20148,132246,21162,20894,268,PALAKKAD,MALABAR (NORTH KERALA),2.697551171,CPM,LDF
57,TARUR,SC,NOTA,None of the Above,Others,,,4,0.76675287,0.111912648,148,132246,1014,999,15,PALAKKAD,MALABAR (NORTH KERALA),2.697551171,CPM,LDF
57,TARUR,SC,NARAYANANKUTTY  K T,Bahujan Samaj Party,Others,male,40,5,0.654840222,0,0,132246,866,857,9,PALAKKAD,MALABAR (NORTH KERALA),2.697551171,CPM,LDF
58,CHITTUR,GEN,ADV. SUMESH ACHUTHAN,Indian National Congress,UDF,male,50,1,44.20182965,4.404958454,6510,147788,65325,64279,1046,PALAKKAD,MALABAR (NORTH KERALA),2.73246464,JD(S),LDF
58,CHITTUR,GEN,ADV. V. MURUGADAS,Indian Socialist Janata Dal,LDF,male,51,2,39.79687119,29.85222075,44118,147788,58815,57949,866,PALAKKAD,MALABAR (NORTH KERALA),2.73246464,JD(S),LDF
58,CHITTUR,GEN,PRANESH RAJENDRAN,Bharatiya Janata Party,NDA,male,49,3,9.944650445,5.218962297,7713,147788,14697,14513,184,PALAKKAD,MALABAR (NORTH KERALA),2.73246464,JD(S),LDF
58,CHITTUR,GEN,MURUGADAS. P.  S/O PAZHANIAPPA MUDALIYAAR,Independent,Others,male,65,4,4.725688148,3.847403037,5686,147788,6984,6913,71,PALAKKAD,MALABAR (NORTH KERALA),2.73246464,JD(S),LDF
58,CHITTUR,GEN,NOTA,None of the Above,Others,,,5,0.878285111,0.602213982,890,147788,1298,1271,27,PALAKKAD,MALABAR (NORTH KERALA),2.73246464,JD(S),LDF
58,CHITTUR,GEN,N S K PURAM SASIKUMAR,Independent,Others,male,49,6,0.276071129,0.099466804,147,147788,408,399,9,PALAKKAD,MALABAR (NORTH KERALA),2.73246464,JD(S),LDF
58,CHITTUR,GEN,SUMESH C,Independent,Others,male,31,7,0.176604325,0,0,147788,261,258,3,PALAKKAD,MALABAR (NORTH KERALA),2.73246464,JD(S),LDF
59,NENMARA,GEN,K PREMAN,Communist Party of India (Marxist),LDF,male,51,1,44.20088108,2.196057064,3305,150497,66521,65312,1209,PALAKKAD,MALABAR (NORTH KERALA),2.588043998,CPM,LDF
59,NENMARA,GEN,A. THANKAPPAN,Indian National Congress,UDF,male,67,2,42.00482402,29.97335495,45109,150497,63216,62159,1057,PALAKKAD,MALABAR (NORTH KERALA),2.588043998,CPM,LDF
59,NENMARA,GEN,A.N.ANURAG,Bharath Dharma Jana Sena,NDA,male,47,3,12.03146907,11.20686791,16866,150497,18107,17881,226,PALAKKAD,MALABAR (NORTH KERALA),2.588043998,CPM,LDF
59,NENMARA,GEN,NOTA,None of the Above,Others,,,4,0.824601155,0.297680352,448,150497,1241,1206,35,PALAKKAD,MALABAR (NORTH KERALA),2.588043998,CPM,LDF
59,NENMARA,GEN,ANVAR SADIK,Social Democratic Party Of India,Others,male,31,5,0.526920802,0.307647329,463,150497,793,788,5,PALAKKAD,MALABAR (NORTH KERALA),2.588043998,CPM,LDF
59,NENMARA,GEN,SANKARANARAYANAN R,Independent,Others,male,58,6,0.219273474,0.027243068,41,150497,330,324,6,PALAKKAD,MALABAR (NORTH KERALA),2.588043998,CPM,LDF
59,NENMARA,GEN,RADHAKRISHNAN K,Independent,Others,male,56,7,0.192030406,0,0,150497,289,283,6,PALAKKAD,MALABAR (NORTH KERALA),2.588043998,CPM,LDF
60,ALATHUR,GEN,T M SASI,Communist Party of India (Marxist),LDF,male,46,1,45.86490252,6.37194645,8553,134229,61564,60617,947,PALAKKAD,MALABAR (NORTH KERALA),2.610039345,CPM,LDF
60,ALATHUR,GEN,K M FEBIN,Indian National Congress,UDF,male,43,2,39.49295607,26.56951925,35664,134229,53011,52234,777,PALAKKAD,MALABAR (NORTH KERALA),2.610039345,CPM,LDF
60,ALATHUR,GEN,K V  PRASANNAKUMAR,Bharatiya Janata Party,NDA,male,46,3,12.92343681,12.12554664,16276,134229,17347,17141,206,PALAKKAD,MALABAR (NORTH KERALA),2.610039345,CPM,LDF
60,ALATHUR,GEN,NOTA,None of the Above,Others,,,4,0.797890173,0.312898107,420,134229,1071,1052,19,PALAKKAD,MALABAR (NORTH KERALA),2.610039345,CPM,LDF
60,ALATHUR,GEN,M T CHANDRAN,Bahujan Samaj Party,Others,male,63,5,0.484992066,0.049169703,66,134229,651,639,12,PALAKKAD,MALABAR (NORTH KERALA),2.610039345,CPM,LDF
60,ALATHUR,GEN,B FEBIN S/O BALAN K.C.,Independent,Others,male,37,6,0.435822363,0,0,134229,585,575,10,PALAKKAD,MALABAR (NORTH KERALA),2.610039345,CPM,LDF
61,CHELAKKARA,SC,U R PRADEEP,Communist Party of India (Marxist),LDF,male,52,1,46.62735748,18.01153533,29386,163151,76073,75048,1025,THRISSUR,KOCHI (CENTRAL KERALA),2.843696901,CPM,LDF
61,CHELAKKARA,SC,SIVADASAN (SIVAN VEETTIKUNNU),Independent,UDF,male,47,2,28.61582215,5.762146723,9401,163151,46687,46118,569,THRISSUR,KOCHI (CENTRAL KERALA),2.843696901,CPM,LDF
61,CHELAKKARA,SC,K BALAKRISHNAN,Bharatiya Janata Party,NDA,male,50,3,22.85367543,22.09854675,36054,163151,37286,36778,508,THRISSUR,KOCHI (CENTRAL KERALA),2.843696901,CPM,LDF
61,CHELAKKARA,SC,NOTA,None of the Above,Others,,,4,0.755128684,0.017162016,28,163151,1232,1217,15,THRISSUR,KOCHI (CENTRAL KERALA),2.843696901,CPM,LDF
61,CHELAKKARA,SC,VINODKUMAR,Social Democratic Party Of India,Others,male,45,5,0.737966669,0.327917083,535,163151,1204,1186,18,THRISSUR,KOCHI (CENTRAL KERALA),2.843696901,CPM,LDF
61,CHELAKKARA,SC,SUBRAMANIAN K V,Aam Aadmi Party,Others,male,61,6,0.410049586,0,0,163151,669,634,35,THRISSUR,KOCHI (CENTRAL KERALA),2.843696901,CPM,LDF
62,KUNNAMKULAM,GEN,A C MOIDEEN,Communist Party of India (Marxist),LDF,male,69,1,45.22197288,2.968094448,4563,153735,69522,68693,829,THRISSUR,KOCHI (CENTRAL KERALA),2.528332386,CPM,LDF
62,KUNNAMKULAM,GEN,P T AJAY MOHAN,Indian National Congress,UDF,male,60,2,42.25387843,31.12824015,47855,153735,64959,64008,951,THRISSUR,KOCHI (CENTRAL KERALA),2.528332386,CPM,LDF
62,KUNNAMKULAM,GEN,K R RAJIN,Bharath Dharma Jana Sena,NDA,male,44,3,11.12563827,10.40036426,15989,153735,17104,17005,99,THRISSUR,KOCHI (CENTRAL KERALA),2.528332386,CPM,LDF
62,KUNNAMKULAM,GEN,NOTA,None of the Above,Others,,,4,0.72527401,0.052037597,80,153735,1115,1109,6,THRISSUR,KOCHI (CENTRAL KERALA),2.528332386,CPM,LDF
62,KUNNAMKULAM,GEN,RAJEEV K S,Aam Aadmi Party,Others,male,58,5,0.673236413,0,0,153735,1035,1020,15,THRISSUR,KOCHI (CENTRAL KERALA),2.528332386,CPM,LDF
63,GURUVAYOOR,GEN,N. K. AKBAR,Communist Party of India (Marxist),LDF,male,56,1,40.77351749,1.233036491,1998,162039,66069,65429,640,THRISSUR,KOCHI (CENTRAL KERALA),2.819830406,CPM,LDF
63,GURUVAYOOR,GEN,C. H. RASHEED,Indian Union Muslim League,UDF,male,63,2,39.540481,21.67626312,35124,162039,64071,63465,606,THRISSUR,KOCHI (CENTRAL KERALA),2.819830406,CPM,LDF
63,GURUVAYOOR,GEN,ADV. B. GOPALAKRISHNAN,Bharatiya Janata Party,NDA,male,64,3,17.86421787,16.87062991,27337,162039,28947,28638,309,THRISSUR,KOCHI (CENTRAL KERALA),2.819830406,CPM,LDF
63,GURUVAYOOR,GEN,K. V. ABDUL NASAR,Social Democratic Party Of India,Others,male,55,4,0.993587963,0.587512883,952,162039,1610,1603,7,THRISSUR,KOCHI (CENTRAL KERALA),2.819830406,CPM,LDF
63,GURUVAYOOR,GEN,NOTA,None of the Above,Others,,,5,0.406075081,0.118489993,192,162039,658,655,3,THRISSUR,KOCHI (CENTRAL KERALA),2.819830406,CPM,LDF
63,GURUVAYOOR,GEN,PAULY GURUVAYUR,Aam Aadmi Party,Others,male,57,6,0.287585088,0.153049574,248,162039,466,461,5,THRISSUR,KOCHI (CENTRAL KERALA),2.819830406,CPM,LDF
63,GURUVAYOOR,GEN,C. R. UNNIKRISHNAN,Socialist Unity Centre Of India (COMMUNIST),Others,male,72,7,0.134535513,0,0,162039,218,217,1,THRISSUR,KOCHI (CENTRAL KERALA),2.819830406,CPM,LDF
64,MANALUR,GEN,PROF C RAVINDRANATH,Communist Party of India (Marxist),LDF,male,70,1,38.1224947,0.073517828,126,171387,65337,64324,1013,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,T N PRATHAPAN,Indian National Congress,UDF,male,65,2,38.04897688,15.80399914,27086,171387,65211,63950,1261,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,ADV K K ANEESHKUMAR,Bharatiya Janata Party,NDA,male,47,3,22.24497774,21.64341519,37094,171387,38125,37725,400,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,JILEEF (DILEEF ABDUL KHADAR),Social Democratic Party Of India,Others,male,44,4,0.601562546,0.207133563,355,171387,1031,1016,15,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,NOTA,None of the Above,Others,,,5,0.394428982,0.20188229,346,171387,676,667,9,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,DR UNNIKRISHNAN CHIRAYATH,Aam Aadmi Party,Others,male,68,6,0.192546693,0.056013583,96,171387,330,327,3,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,RAVINDRANATH K,Independent,Others,male,65,7,0.136533109,0.029173741,50,171387,234,234,0,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,PRATHAPAN(S/O AYYAPPAN),Independent,Others,male,75,8,0.107359368,0.038509339,66,171387,184,182,2,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,SIVAPRASAD GANDHI K M,Indian Gandhiyan Party,Others,male,47,9,0.068850029,0.027423317,47,171387,118,113,5,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,P V CHANDRAN,Independent,Others,male,63,10,0.041426713,0.000583475,1,171387,71,71,0,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
64,MANALUR,GEN,SUJITH,Independent,Others,male,39,11,0.040843238,0,0,171387,70,67,3,THRISSUR,KOCHI (CENTRAL KERALA),2.944223658,CPM,LDF
65,WADAKKANCHERY,GEN,XAVIER CHITTILAPPILLY,Communist Party of India (Marxist),LDF,male,54,1,43.22145764,3.477272449,5690,163634,70725,69484,1241,THRISSUR,KOCHI (CENTRAL KERALA),2.704312341,CPM,LDF
65,WADAKKANCHERY,GEN,P.N. VAISAKH,Indian National Congress,UDF,male,38,2,39.74418519,23.95040151,39191,163634,65035,63767,1268,THRISSUR,KOCHI (CENTRAL KERALA),2.704312341,CPM,LDF
65,WADAKKANCHERY,GEN,ADV. T.S ULLAS BABU,Bharatiya Janata Party,NDA,male,44,3,15.79378369,15.07021768,24660,163634,25844,25498,346,THRISSUR,KOCHI (CENTRAL KERALA),2.704312341,CPM,LDF
65,WADAKKANCHERY,GEN,NOTA,None of the Above,Others,,,4,0.723566007,0.431450677,706,163634,1184,1171,13,THRISSUR,KOCHI (CENTRAL KERALA),2.704312341,CPM,LDF
65,WADAKKANCHERY,GEN,JITHIN SADANANDHAN,Aam Aadmi Party,Others,male,37,5,0.292115331,0.067223193,110,163634,478,470,8,THRISSUR,KOCHI (CENTRAL KERALA),2.704312341,CPM,LDF
65,WADAKKANCHERY,GEN,SUBRAMANIAN PENAKAM,Bahujan Samaj Party,Others,male,70,6,0.224892137,0,0,163634,368,363,5,THRISSUR,KOCHI (CENTRAL KERALA),2.704312341,CPM,LDF
66,OLLUR,GEN,K RAJAN,Communist Party of India,LDF,male,52,1,45.86025396,5.84512139,8884,151990,69703,68766,937,THRISSUR,KOCHI (CENTRAL KERALA),2.581637944,CPI,LDF
66,OLLUR,GEN,ADV. SHAJI J KODANKANDATH,Indian National Congress,UDF,male,55,2,40.01513257,27.02940983,41082,151990,60819,59949,870,THRISSUR,KOCHI (CENTRAL KERALA),2.581637944,CPI,LDF
66,OLLUR,GEN,BIJOY THOMAS,Bharatiya Janata Party,NDA,male,52,3,12.98572274,12.41858017,18875,151990,19737,19537,200,THRISSUR,KOCHI (CENTRAL KERALA),2.581637944,CPI,LDF
66,OLLUR,GEN,NOTA,None of the Above,Others,,,4,0.567142575,0.17632739,268,151990,862,850,12,THRISSUR,KOCHI (CENTRAL KERALA),2.581637944,CPI,LDF
66,OLLUR,GEN,PRINSON AVINISSERY,Aam Aadmi Party,Others,male,51,5,0.390815185,0.209882229,319,151990,594,586,8,THRISSUR,KOCHI (CENTRAL KERALA),2.581637944,CPI,LDF
66,OLLUR,GEN,EDWIN BABU ALAPAT,Independent,Others,male,28,6,0.180932956,0,0,151990,275,274,1,THRISSUR,KOCHI (CENTRAL KERALA),2.581637944,CPI,LDF
67,THRISSUR,GEN,RAJAN. J. PALLAN,Indian National Congress,UDF,male,63,1,48.5497093,21.58364336,26803,124182,60290,59221,1069,THRISSUR,KOCHI (CENTRAL KERALA),2.764143113,CPI,LDF
67,THRISSUR,GEN,ALANKODE LEELAKRISHNAN,Communist Party of India,LDF,male,66,2,26.96606594,3.885426229,4825,124182,33487,32918,569,THRISSUR,KOCHI (CENTRAL KERALA),2.764143113,CPI,LDF
67,THRISSUR,GEN,PADMAJA VENUGOPAL,Bharatiya Janata Party,NDA,female,65,3,23.08063971,22.24074342,27619,124182,28662,28193,469,THRISSUR,KOCHI (CENTRAL KERALA),2.764143113,CPI,LDF
67,THRISSUR,GEN,NOTA,None of the Above,Others,,,4,0.839896281,0.599120646,744,124182,1043,1027,16,THRISSUR,KOCHI (CENTRAL KERALA),2.764143113,CPI,LDF
67,THRISSUR,GEN,RANI ANTO,Aam Aadmi Party,Others,female,53,5,0.240775636,0.117569374,146,124182,299,296,3,THRISSUR,KOCHI (CENTRAL KERALA),2.764143113,CPI,LDF
67,THRISSUR,GEN,RAJAN. M,Independent,Others,male,56,6,0.123206262,0.012079045,15,124182,153,150,3,THRISSUR,KOCHI (CENTRAL KERALA),2.764143113,CPI,LDF
67,THRISSUR,GEN,ROSILIN CHACKO,Bahujan Samaj Party,Others,female,60,7,0.111127217,0.022547551,28,124182,138,136,2,THRISSUR,KOCHI (CENTRAL KERALA),2.764143113,CPI,LDF
67,THRISSUR,GEN,ARSHED AZIZ,Communist Party of India (Marxist-Leninist) (Liberation),Others,male,27,8,0.088579665,0,0,124182,110,107,3,THRISSUR,KOCHI (CENTRAL KERALA),2.764143113,CPI,LDF
68,NATTIKA,SC,GEETHAGOPI,Communist Party of India,LDF,female,52,1,37.43866442,4.50249151,7093,157535,58979,58121,858,THRISSUR,KOCHI (CENTRAL KERALA),3.020132647,CPI,LDF
68,NATTIKA,SC,ADV. SUNIL LALOOR,Indian National Congress,UDF,male,45,2,32.93617291,4.233979751,6670,157535,51886,51097,789,THRISSUR,KOCHI (CENTRAL KERALA),3.020132647,CPI,LDF
68,NATTIKA,SC,C.C. MUKUNDAN,Bharatiya Janata Party,NDA,male,67,3,28.70219316,27.77922366,43762,157535,45216,44727,489,THRISSUR,KOCHI (CENTRAL KERALA),3.020132647,CPI,LDF
68,NATTIKA,SC,NOTA,None of the Above,Others,,,4,0.922969499,0,0,157535,1454,1436,18,THRISSUR,KOCHI (CENTRAL KERALA),3.020132647,CPI,LDF
69,KAIPAMANGALAM,GEN,K.K. VALSARAJ,Communist Party of India,LDF,male,63,1,45.81460792,6.960953141,9944,142854,65448,64521,927,THRISSUR,KOCHI (CENTRAL KERALA),2.632158253,CPI,LDF
69,KAIPAMANGALAM,GEN,T.M. NAZAR,Indian National Congress,UDF,male,64,2,38.85365478,25.07175158,35816,142854,55504,54613,891,THRISSUR,KOCHI (CENTRAL KERALA),2.632158253,CPI,LDF
69,KAIPAMANGALAM,GEN,ATHULLIAGHOSH VETTIYATTIL,Bharath Dharma Jana Sena,NDA,male,62,3,13.7819032,13.29889258,18998,142854,19688,19493,195,THRISSUR,KOCHI (CENTRAL KERALA),2.632158253,CPI,LDF
69,KAIPAMANGALAM,GEN,NOTA,None of the Above,Others,,,4,0.483010626,0.02590057,37,142854,690,685,5,THRISSUR,KOCHI (CENTRAL KERALA),2.632158253,CPI,LDF
69,KAIPAMANGALAM,GEN,JAYAN ERATT,Aam Aadmi Party,Others,male,61,5,0.457110056,0.081901802,117,142854,653,645,8,THRISSUR,KOCHI (CENTRAL KERALA),2.632158253,CPI,LDF
69,KAIPAMANGALAM,GEN,A.M. MUHAMMED RIYAS,Social Democratic Party Of India,Others,male,48,6,0.375208255,0.140703095,201,142854,536,534,2,THRISSUR,KOCHI (CENTRAL KERALA),2.632158253,CPI,LDF
69,KAIPAMANGALAM,GEN,MANOJ M.M.,Communist Party of India (Marxist-Leninist) Red Star,Others,male,47,7,0.234505159,0,0,142854,335,327,8,THRISSUR,KOCHI (CENTRAL KERALA),2.632158253,CPI,LDF
70,IRINJALAKKUDA,GEN,ADV. THOMAS UNNIYADAN,Kerala Congress,UDF,male,67,1,43.53754902,6.707785682,10212,152241,66282,65090,1192,THRISSUR,KOCHI (CENTRAL KERALA),2.800140516,CPM,LDF
70,IRINJALAKKUDA,GEN,DR.R.BINDU,Communist Party of India (Marxist),LDF,female,58,2,36.82976334,18.98503031,28903,152241,56070,55049,1021,THRISSUR,KOCHI (CENTRAL KERALA),2.800140516,CPM,LDF
